# Fighters 
 fighter_equipment_0:0 "Fighter '33"
 fighter_equipment_0_short:0 "Fighter '33"
 fighter_equipment_0_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 fighter_equipment_1:0 "Fighter '36"
 fighter_equipment_1_short:0 "Fighter '36"
 fighter_equipment_1_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 fighter_equipment_2:0 "Fighter '40"
 fighter_equipment_2_short:0 "Fighter '40"
 fighter_equipment_2_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 fighter_equipment_3:0 "Fighter '43"
 fighter_equipment_3_short:0 "Fighter '43"
 fighter_equipment_3_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_1:0 "Turbojet Fighter '45"
 jet_fighter_equipment_1_short:0 "Jet Fighter '45"
 jet_fighter_equipment_1_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_2:0 "Turbojet Fighter '47"
 jet_fighter_equipment_2_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_3:0 "Supersonic Fighter '50"
 jet_fighter_equipment_3_short:0 "Jet Fighter '50"
 jet_fighter_equipment_3_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_4:0 "Supersonic Fighter '54"
 jet_fighter_equipment_4_short:0 "Jet Fighter '54"
